2026-04-04 16:12:23,135 | INFO | apscheduler.scheduler | - | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-04 16:12:23,136 | INFO | apscheduler.scheduler | - | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-04 16:12:23,530 | INFO | apscheduler.scheduler | - | Added job "run_daily_etl_job" to job store "default"
2026-04-04 16:12:23,530 | INFO | apscheduler.scheduler | - | Added job "run_daily_advice_job" to job store "default"
2026-04-04 16:12:23,530 | INFO | apscheduler.scheduler | - | Scheduler started
2026-04-04 16:12:23,530 | INFO | app.main | - | app_started scheduler_running=True
2026-04-04 16:12:23,712 | WARNING | app.services.data_provider | 62ce3e5d-7279-4e1f-93cb-2f70f8c91f0c | vnstock_data not available, using deterministic local fallback
2026-04-04 16:12:23,722 | INFO | app.services.etl | 62ce3e5d-7279-4e1f-93cb-2f70f8c91f0c | daily ETL done: {"run_date": "2026-04-04", "total_symbols": 5, "market_success": 5, "financial_success": 5, "news_success": 5, "errors": []}
2026-04-04 16:12:52,782 | INFO | app.services.gemini_client | b0f61573-a173-4a30-8ff2-d0d5ee3ded00 | gemini_call_ok model=gemini-3-flash-preview latency_ms=29017
2026-04-04 16:12:52,783 | INFO | app.services.ai_policy | b0f61573-a173-4a30-8ff2-d0d5ee3ded00 | ai_usage user=1 date=2026-04-04 purpose=daily_advice success=True latency_ms=29017 error=None
2026-04-04 16:12:52,787 | INFO | app.services.notifier | b0f61573-a173-4a30-8ff2-d0d5ee3ded00 | in_app_notification user_id=1 title=Khuyến nghị 2026-04-04 body=Top cơ hội: VCB, HPG, TCB. Rủi ro danh mục hiện tại: 33.0/100. Vùng mua kỷ luật: VCB, HPG, TCB, FPT, VNM. Cảnh báo: Danh mục ít mã, rủi ro tập trung ngành/mã Giá mua/bán chỉ là gợi ý định lượng, quyết định cuối cùng thuộc về bạn.
2026-04-04 16:12:52,787 | WARNING | app.services.notifier | b0f61573-a173-4a30-8ff2-d0d5ee3ded00 | email_skipped_missing_smtp to=local@user subject=[KyLuat DauTu] Khuyến nghị 2026-04-04
2026-04-04 16:12:52,825 | INFO | apscheduler.scheduler | - | Scheduler has been shut down
2026-04-04 16:12:52,827 | INFO | app.main | - | app_shutdown
2026-04-04 16:13:07,448 | INFO | apscheduler.scheduler | - | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-04 16:13:07,448 | INFO | apscheduler.scheduler | - | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-04-04 16:13:07,513 | INFO | apscheduler.scheduler | - | Added job "run_daily_etl_job" to job store "default"
2026-04-04 16:13:07,515 | INFO | apscheduler.scheduler | - | Added job "run_daily_advice_job" to job store "default"
2026-04-04 16:13:07,515 | INFO | apscheduler.scheduler | - | Scheduler started
2026-04-04 16:13:07,515 | INFO | app.main | - | app_started scheduler_running=True
2026-04-04 16:13:08,037 | WARNING | app.services.data_provider | 578b4c61-ff05-49e1-8d5c-a053004f7fae | vnstock_data not available, using deterministic local fallback
2026-04-04 16:13:08,048 | INFO | app.services.etl | 578b4c61-ff05-49e1-8d5c-a053004f7fae | daily ETL done: {"run_date": "2026-04-04", "total_symbols": 5, "market_success": 5, "financial_success": 5, "news_success": 5, "errors": []}
2026-04-04 16:13:08,076 | INFO | app.services.advice_service | 55d1c025-93df-427b-aa18-b6d0a26e1a0c | ai_skipped user_id=1 reason=gemini_disabled
2026-04-04 16:13:08,079 | INFO | app.services.notifier | 55d1c025-93df-427b-aa18-b6d0a26e1a0c | in_app_notification user_id=1 title=Khuyến nghị 2026-04-04 body=Top cơ hội: VCB, HPG, TCB. Rủi ro danh mục hiện tại: 33.0/100. Vùng mua kỷ luật: VCB, HPG, TCB, FPT, VNM. Cảnh báo: Danh mục ít mã, rủi ro tập trung ngành/mã Giá mua/bán chỉ là gợi ý định lượng, quyết định cuối cùng thuộc về bạn.
2026-04-04 16:13:08,079 | WARNING | app.services.notifier | 55d1c025-93df-427b-aa18-b6d0a26e1a0c | email_skipped_missing_smtp to=local@user subject=[KyLuat DauTu] Khuyến nghị 2026-04-04
2026-04-04 16:13:08,255 | INFO | apscheduler.scheduler | - | Scheduler has been shut down
2026-04-04 16:13:08,255 | INFO | app.main | - | app_shutdown
